file	batch
ENCFF705ZQF_ENCFF787IYZ.Aligned.sortedByCoord.out.bed	17
ENCFF306BSL_ENCFF669HGJ.Aligned.sortedByCoord.out.bed	17
ENCFF977JGY_ENCFF974JLT.Aligned.sortedByCoord.out.bed	17
ENCFF389CWK_ENCFF643QPE.Aligned.sortedByCoord.out.bed	17
ENCFF143VCK_ENCFF130QBE.Aligned.sortedByCoord.out.bed	17
ENCFF527BFA_ENCFF133TKP.Aligned.sortedByCoord.out.bed	17
ENCFF992RHT_ENCFF955JHG.Aligned.sortedByCoord.out.bed	17
ENCFF076EAI_ENCFF478ILB.Aligned.sortedByCoord.out.bed	1
ENCFF102NCM_ENCFF875FRI.Aligned.sortedByCoord.out.bed	1
ENCFF144HNL_ENCFF853XQB.Aligned.sortedByCoord.out.bed	2
ENCFF063ZYP_ENCFF816GYE.Aligned.sortedByCoord.out.bed	2
ENCFF180KPO_ENCFF200UFR.Aligned.sortedByCoord.out.bed	3
ENCFF713NLI_ENCFF885FZS.Aligned.sortedByCoord.out.bed	3
ENCFF250AJS_ENCFF319WJN.Aligned.sortedByCoord.out.bed	4
ENCFF239POR_ENCFF962DHI.Aligned.sortedByCoord.out.bed	4
ENCFF273HGG_ENCFF427SJZ.Aligned.sortedByCoord.out.bed	5
ENCFF275CAO_ENCFF665YCB.Aligned.sortedByCoord.out.bed	6
ENCFF333TBJ_ENCFF761TJL.Aligned.sortedByCoord.out.bed	7
ENCFF119BHG_ENCFF408PSV.Aligned.sortedByCoord.out.bed	7
ENCFF378KNS_ENCFF467IYJ.Aligned.sortedByCoord.out.bed	8
ENCFF860BAF_ENCFF593JVU.Aligned.sortedByCoord.out.bed	8
ENCFF432ZMG_ENCFF913HPT.Aligned.sortedByCoord.out.bed	9
ENCFF013IJN_ENCFF927CUY.Aligned.sortedByCoord.out.bed	9
ENCFF439JJL_ENCFF423BGO.Aligned.sortedByCoord.out.bed	10
ENCFF533YPF_ENCFF741QDA.Aligned.sortedByCoord.out.bed	11
ENCFF653POC_ENCFF895FLC.Aligned.sortedByCoord.out.bed	12
ENCFF678UNI_ENCFF046RXR.Aligned.sortedByCoord.out.bed	13
ENCFF778OLX_ENCFF509GGA.Aligned.sortedByCoord.out.bed	14
ENCFF048VAD_ENCFF584EBM.Aligned.sortedByCoord.out.bed	14
ENCFF784AVS_ENCFF022LJO.Aligned.sortedByCoord.out.bed	15
ENCFF464CMR_ENCFF424LWF.Aligned.sortedByCoord.out.bed	15
ENCFF788BNI_ENCFF559SIV.Aligned.sortedByCoord.out.bed	16
ENCFF443VVT_ENCFF772ZYG.Aligned.sortedByCoord.out.bed	16
ENCFF805HMT_ENCFF848HCL.Aligned.sortedByCoord.out.bed	17
ENCFF659QXG_ENCFF267XLI.Aligned.sortedByCoord.out.bed	17
ENCFF844QHP_ENCFF893KZD.Aligned.sortedByCoord.out.bed	18
ENCFF099LFX_ENCFF307AQU.Aligned.sortedByCoord.out.bed	18
ENCFF879OQJ_ENCFF762MRA.Aligned.sortedByCoord.out.bed	19
ENCFF430UBM_ENCFF256ISO.Aligned.sortedByCoord.out.bed	19
